node ID: 2079_hp, ground truth SMILE: COC(=O)CC1=CNC2=CC=CC=C21
smiles: CC(=O)N(C1=CC=CC=C1)O, s:  0.00048
smiles: CC(=O)[NH+](C1=CC=CC=C1)[O-], s:  0.00048
smiles: CC(=O)C1=CC(=CC=C1)NO, s:  0.00048
smiles: CC(=O)C1=CC=CC=C1NO, s:  0.00047
smiles: CC(=O)NOC1=CC=CC=C1, s:  0.00047
smiles: CC(=O)C1=CC=C(C=C1)NO, s:  0.00046
smiles: CC1=CC=C(C=C1)NC(=O)O, s:  0.00046
smiles: C1=CC=C(C=C1)NCC(=O)O, s:  0.00046
smiles: CC(=O)C1=CC=CC=C1ON, s:  0.00045
smiles: CC1=CC(=CC=C1)NC(=O)O, s:  0.00045
smiles: C1=CC(=CC(=C1)O)NCC=O, s:  0.00045
smiles: C1=CC=C(C=C1)NOCC=O, s:  0.00045
smiles: CC(=O)OC1=CC=CC=C1N, s:  0.00045
smiles: C=CON(C1=CC=CC=C1)O, s:  0.00045
node ID: 8730_sedi, ground truth SMILE: CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
top 20 test cadidates: 
smiles: CCCCCCC(CN1C=NC=N1)(C2=CC=CC=C2Cl)O, s:  0.00013
smiles: CCCCCCC(CN1C=NC=N1)(C2=CC=C(C=C2)Cl)O, s:  0.00012
smiles: CCCCCCC(CN1C=NC=N1)(C2=CC(=CC=C2)Cl)O, s:  0.00012
smiles: CCCCC(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O, s:  0.00012
smiles: CCCCC(CN1C=NC=N1)(COC)C2=CC=C(C=C2)Cl, s:  0.00010
smiles: CC(C)(C)[C@](CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O, s:  0.00010
smiles: CC(C)(C)[C@@](CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O, s:  0.00010
smiles: CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O, s:  0.00010
smiles: CC[C@@](CN1C=NC=N1)(C(C)(C)CC2=CC=C(C=C2)Cl)O, s:  0.00010
smiles: CCC(CN1C=NC=N1)(C(C)(C)CC2=CC=C(C=C2)Cl)O, s:  0.00010
smiles: CC(C)(C)[C@](CCC1=CC=CC=C1Cl)(CN2C=NC=N2)O, s:  0.00010
smiles: CC(C)(C)[C@@](CCC1=CC=CC=C1Cl)(CN2C=NC=N2)O, s:  0.00010
smiles: CC(C)(C)C(CCC1=CC=CC=C1Cl)(CN2C=NC=N2)O, s:  0.00010
smiles: CCC(C)C(C)C(CN1C=NC=N1)(C2=CC=C(C=C2)Cl)O, s:  0.00010
smiles: CC(C1=CC=C(C=C1)Cl)C(CN2C=NC=N2)(C(C)(C)C)O, s:  0.00010
smiles: CC(CC1=CC=C(C=C1)Cl)C(C(C)(C)CN2C=NC=N2)O, s:  0.00009
smiles: CCCCC(CCN1C=NC=N1)C2=C(C=C(C=C2)Cl)OC, s:  0.00009
smiles: CCCCC(CCN1C=NC=N1)C2=C(C=CC(=C2)Cl)OC, s:  0.00009
smiles: CCCCC(CC(CN1C=NC=N1)O)C2=CC=C(C=C2)Cl, s:  0.00009
smiles: CCC(CN1C=NC=N1)(C(C)(C)C(C2=CC=CC=C2)Cl)O, s:  0.00009
node ID: 9085_sedi, ground truth SMILE: CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
top 20 test cadidates: 
smiles: C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C4CO4)CCC5=CC(=O)CC[C@]35C, s:  0.00032
smiles: CC12CCC3C(C1CCC2CC=O)CCC4=CC(=O)CCC34C, s:  0.00031
smiles: C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2CC=O)CCC4=CC(=O)CC[C@]34C, s:  0.00031
smiles: CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@@H]3[C@@H]2CCC4=CC(=O)CC[C@]34C)C, s:  0.00031
smiles: CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C, s:  0.00031
smiles: CC(=O)[C@H]1CC[C@H]2[C@@]1(CC[C@@H]3[C@H]2CCC4=CC(=O)CC[C@@]34C)C, s:  0.00031
smiles: CC(=O)[C@@H]1CC[C@@H]2[C@@]1(CC[C@@H]3[C@H]2CCC4=CC(=O)CC[C@@]34C)C, s:  0.00031
smiles: CC(=O)[C@@H]1CC[C@H]2[C@@]1(CC[C@@H]3[C@H]2CCC4=CC(=O)CC[C@@]34C)C, s:  0.00031
smiles: CC(=O)[C@@H]1CC[C@H]2[C@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@@]34C)C, s:  0.00031
smiles: CC(=O)[C@H]1CCC2[C@@]1(CCC3C2CCC4=CC(=O)CC[C@]34C)C, s:  0.00031
smiles: CC(=O)[C@@H]1CC[C@H]2[C@@]1(CC[C@@H]3[C@@H]2CCC4=CC(=O)CC[C@]34C)C, s:  0.00031
smiles: CC(=O)[C@@H]1CC[C@@H]2[C@@]1(CC[C@@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C, s:  0.00031
smiles: CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@@H]2CCC4=CC(=O)CC[C@]34C)C, s:  0.00031
smiles: CC(=O)[C@@H]1CC[C@H]2[C@]1(CC[C@@H]3[C@@H]2CCC4=CC(=O)CC[C@]34C)C, s:  0.00031
smiles: CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C, s:  0.00031
smiles: CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@@H]3[C@H]2CCC4=CC(=O)CC[C@@]34C)C, s:  0.00031
smiles: CC(=O)[C@@H]1CC[C@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C, s:  0.00031
smiles: CC(=O)[C@@H]1CC[C@H]2[C@@]1(CC[C@@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C, s:  0.00031
smiles: CC(=O)[C@H]1CC[C@@H]2[C@]1(CC[C@@H]3[C@H]2CCC4=CC(=O)CC[C@@]34C)C, s:  0.00031
smiles: CC(=O)[C@@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C, s:  0.00031
node ID: 16492_cj, ground truth SMILE: C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO
top 20 test cadidates: 
smiles: C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO, s:  0.04638
smiles: CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO, s:  0.02963
smiles: CC(C)(C)OCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO, s:  0.02836
smiles: C(CCCCCCOC[C@@H]([C@@H](CO)O)O[C@@H](COCCCCCCCCCCCCO)[C@@H](CO)O)CCCCCO, s:  0.02802
smiles: CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCCCCCCC, s:  0.02543
smiles: CCCCCCCCCCCCCCCOCC(C)OCCOCCOCCOCCOCCOCCOCCO, s:  0.02383
smiles: CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCO, s:  0.02339
smiles: CCCCCCCCCCCCCCOCC(C)OCC(C)OCCOCCOCCOCCOCCOCCO, s:  0.02339
smiles: CCCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCO, s:  0.02339
smiles: CCCCOCC(CC)(COC)COCC(CC)(COC)COCC(CC)(COC)COCC(CC)(CO)COC, s:  0.02325
smiles: CC[C@H](C)[C@@H](C(=O)NC(=O)[C@@H](C[C@H]1[C@@H](N(C(O1)(C)C)C(=O)OC(C)(C)C)CC2CCCCC2)C(C)C)NCCN(C)C, s:  0.02290
smiles: CCCCCCCCCCCCC(COCCOCCOCCOCCOCCOCCOCCOCC)OCC, s:  0.02273
smiles: CCCCCCCCCCCCCCCCC(COCCOCCOCCOCCOCCOCCOCCO)O, s:  0.02264
smiles: CCC(CO)OCC(CC)OCC(CC)OCC(CC)OCC(CC)OCC(CC)OCC(CC)OCC(CC)O, s:  0.02262
smiles: CCCCCCCCCCOCC(CC(C(CO)O)OC(CC(COCCCCCCCCCC)O)C(CO)O)O, s:  0.02222
smiles: CC1(CC(CC(C1)(C)CNC(=O)C(C)(C)OCCCCC(C)(C)OC(=O)NCC2(CC(CC(C2)(C)C)NC=O)C)N)C, s:  0.02192
smiles: CC1(CCC(C[C@H]1OCC2CCOCC2)C/C(=C\N(C3CCCCO3)NC)/CN(C)CCN(C)C(=O)OC(C)(C)C)C, s:  0.02175
smiles: CCC(CCCCN1CC[N+](C1=O)(CC)[O-])CC(CC)CCOCCCCC(CC)(CC)CN2C(=O)CN(C2=O)CC, s:  0.02168
smiles: C(CCC/C=C\CCCCCCCC(=O)O)CCCCSCCCCCCCC/C=C\CCCCCCCC(=O)O, s:  0.02160
smiles: CCCCCCCC/C(=C/CCCCCCCC(=O)O)/S/C(=C\CCCCCCCC(=O)O)/CCCCCCCC, s:  0.02156
node ID: 4589_hyneg, ground truth SMILE: C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O
top 20 test cadidates: 
smiles: C1=CC=C2C(=C1)C=C(N2)C(=O)C(=O)O, s:  0.00119
smiles: C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O, s:  0.00100
smiles: C1=CC=C2C(=C1)C=C(NC2=O)C(=O)O, s:  0.00099
smiles: C1=CC=C2C(=C1)C=C(N2)C(=O)OC=O, s:  0.00099
smiles: C1=CC=C2C(=C1)C=C(C(=O)N2)C(=O)O, s:  0.00099
smiles: C1=CC2=C(C=C1C=O)C=C(N2)C(=O)O, s:  0.00095
smiles: C1=CC2=C(C=C1C=O)NC(=C2)C(=O)O, s:  0.00095
smiles: C1=CC2=C(C(=C1)C=O)NC(=C2)C(=O)O, s:  0.00087
smiles: C1=CC(=C2C=C(NC2=C1)C(=O)O)C=O, s:  0.00087
smiles: C1=CC2=C(C=CC(=O)N2)C=C1C(=O)O, s:  0.00079
smiles: C1=CC2=CC(=O)NC(=C2C=C1)C(=O)O, s:  0.00078
smiles: C1=CC=C2C(=C1)C(=CC(=O)N2)C(=O)O, s:  0.00078
smiles: C1=CC=C2C(=C1)C=C(C(=O)C(=O)N2)O, s:  0.00078
smiles: C1=CC=C2C(=C1)C=C(N2)OC(=O)C=O, s:  0.00077
smiles: C1=CC=C2C(=C1)C=C(C(=O)N2)OC=O, s:  0.00076
smiles: C1=CC=C2C(=C1)C(=C(N2)C=O)C(=O)O, s:  0.00076
smiles: C1=CC=C2C(=C1)C(=C(N2)C(=O)O)C=O, s:  0.00075
smiles: C1=CC2=C(C=C1C(=O)O)C=C(N2)C=O, s:  0.00075
smiles: C1=CC2=C(C=C1C(=O)O)NC(=C2)C=O, s:  0.00075
smiles: C1=CC=C2C=[N+](C(=CC2=C1)C(=O)O)[O-], s:  0.00075
node ID: 14827_cj, ground truth SMILE: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
top 20 test cadidates: 
smiles: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O, s:  0.03558
smiles: CC(COC(C)COC(C)COC(C)COCC(C)OCC(C)OCC(C)OCC(C)O)O, s:  0.02857
smiles: CC(COCC(C)OC(C)(C)OC(C)COCC(C)OC(C)(C)OC(C)COCC(C)O)O, s:  0.01089
smiles: CN1CCC2C3CC(CCC3C2C1)C4CN(C(S4)NCC(CC5CCC(C(C5)F)OC)N)C, s:  0.00956
smiles: CC/C=C/C/C=C/C/C=C/CCCCCCC(=O)OCC(COCCC(C(=O)O)[N+](C)(C)C)O, s:  0.00938
smiles: CCCCCCCCCCCCCC1=CC(=O)NC(=N1)NC(=O)NCCOCCOCCOC, s:  0.00936
smiles: CC1=C(C(=NN1C)C)CN2CCCCOC[C@H]([C@H]([C@@H](CN(CC2)C(=O)C)OCCC(C)C)O)O, s:  0.00932
smiles: CCC1=NC(=C(N1)C)CN2CCCCOC[C@H]([C@H]([C@@H](CN(CC2)C(=O)C)OCCC(C)C)O)O, s:  0.00930
smiles: CCCN1C=C(C=N1)CN2CCCCOC[C@H]([C@H]([C@@H](CN(CC2)C(=O)C)OCCC(C)C)O)O, s:  0.00930
smiles: CC(C)CCO[C@@H]1CN(CCN(CCCCOC[C@H]([C@H]1O)O)CC2=CC=NN2C(C)C)C(=O)C, s:  0.00929
smiles: CCN1C=C(C(=N1)C)CN2CCCCOC[C@H]([C@H]([C@@H](CN(CC2)C(=O)C)OCCC(C)C)O)O, s:  0.00920
smiles: CCCCCCCCCCCCOCC(COCC(COCC(COCC(CO)O)O)O)O, s:  0.00917
smiles: CN1CCC(CC1)OC2CCN(CC2)C3CCNCC3NC(=O)C4C(NN5C4NCC(C5)F)N, s:  0.00917
smiles: CCCCCCCCCCCC(=O)N1CCCC1C(=O)NC(CCC(=O)OC)C(=O)NCCN, s:  0.00911
smiles: CC(C)(C)OC(=O)CCCCCCCCCCCCCCC(=O)NC(CCN=[N+]=[N-])C(=O)OC, s:  0.00909
smiles: CC(C)(C)OC(=O)CCCCC(=O)CCCCCCCCCCN[C@@H](CCN=[N+]=[N-])C(=O)OC, s:  0.00905
smiles: CCCCCCCCCCCCOCC(COC(COCC(CO)O)COCC(CO)O)O, s:  0.00905
smiles: CCCCCC(C(CO)O)OCCOCCOCCOCCOC(CCCCC)C(CO)O, s:  0.00903
smiles: COC1CCC(CC1)C2CNC(NC2)NC3CCC(CC3)OCCN4C[C@@H](C[C@H]4C(=O)OC)O, s:  0.00900
smiles: CCCCNC1=NC=C(C(=N1)N(C2CCC(CC2)O)N)C3=NC=C(C=C3)CN4C[C@@H](NC[C@H]4C)C, s:  0.00896
node ID: 6435_hp, ground truth SMILE: CCCC/C=C/C=C/C=C\CCCCCCCC(=O)O
top 20 test cadidates: 
smiles: CCCCCCOC1=CC=CC=C1OCCCCCC, s:  0.00026
smiles: CCCCCCOC1=CC=C(C=C1)OCCCCCC, s:  0.00026
smiles: CCCCCCCCCCCOC1=CC=CC=C1OC, s:  0.00025
smiles: CCCCCCCCCCOC1=CC=C(C=C1)OCC, s:  0.00025
smiles: CCCCCCCCCCOC1=CC=CC=C1[C@@H](C)O, s:  0.00025
smiles: CCCCCCCCCCOC1=CC=CC=C1[C@H](C)O, s:  0.00025
smiles: CCCCCCCCCCOC1=CC=CC=C1C(C)O, s:  0.00025
smiles: CCCCCCCOC1=CC=CC(=C1)OCCCCC, s:  0.00025
smiles: CCCCCCCCCCCOC1=CC=C(C=C1)OC, s:  0.00025
smiles: CCCCCCOC1=CC(=CC=C1)OCCCCCC, s:  0.00025
smiles: CCCCCCCCCOC1=CC=CC=C1[C@@H](CC)O, s:  0.00025
smiles: CCCCCCCCCOC1=CC=CC=C1[C@H](CC)O, s:  0.00025
smiles: CCCCCCCCCOC1=CC=CC=C1C(CC)O, s:  0.00025
smiles: CCCCCCC(CCCCC)(O)OC1=CC=CC=C1, s:  0.00025
smiles: CCCCCCCCC(C1=CC=CC=C1OCCC)O, s:  0.00025
smiles: CCCCCCCC(C1=CC=C(C=C1)OCCCC)O, s:  0.00024
smiles: CCCCCCCCCCOC1=CC=C(C=C1)[C@@H](C)O, s:  0.00024
smiles: CCCCCCCCCCOC1=CC=C(C=C1)[C@H](C)O, s:  0.00024
smiles: CCCCCCCCCCOC1=CC=C(C=C1)C(C)O, s:  0.00024
smiles: CCCCCCCCC(C1=CC=CC=C1O)OCCC, s:  0.00024
node ID: 9415_cj, ground truth SMILE: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O
top 20 test cadidates: 
smiles: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O, s:  0.00058
smiles: CC(COC(C)COCC(C)OCC(C)OCC(C)O)O, s:  0.00052
smiles: CCCOCC(COC(C)COC(C)COC(C)CO)O, s:  0.00044
smiles: CC(COC(C)COC(CCC(CC(C)(C)O)O)CO)O, s:  0.00041
smiles: CC(COCCOCCCCOCC(C)OCC(C)O)O, s:  0.00040
smiles: CC(CO)OC(C)COCC(C)OC(C)COCC(C)O, s:  0.00040
smiles: CC(COC(C)COC(C)C(C(CCCCCO)O)O)O, s:  0.00039
smiles: CCC(COCC(C)O)(COCC(C)O)COC(C)CO, s:  0.00037
smiles: CCCC(C(COC(C)CO)OC(C)CO)OC(C)CO, s:  0.00035
smiles: CC(COCC(C)OCCOC(C)COCC(C)OC)O, s:  0.00035
smiles: CCC(COC(C)CO)(COC(C)CO)COC(C)CO, s:  0.00033
smiles: CC(CCCOCC(C)OCCO)OCC(C)OCCO, s:  0.00033
smiles: CC(COCCC(CCOCC(C)O)OCC(C)OC)O, s:  0.00033
smiles: C1CCC(CC1)C2=CN(N=N2)CC[C@H]3CC[C@@H]([C@H](O3)CO)N, s:  0.00032
smiles: CN(CC1=NNC2=C1CCCCC2)CC3(CNCCOC3)O, s:  0.00032
smiles: CC(COC)NC(=NCC1=CC=CC=C1OCCN(C)C)N, s:  0.00032
smiles: CC(COC)NC(=NCC1=CC(=CC=C1)OCCN(C)C)N, s:  0.00032
smiles: CN=C(NCCOC)NCC1=CC=CC=C1OCCN(C)C, s:  0.00032
smiles: CC(COCC(C)OC(C)(C)OC(C)COCC(C)O)O, s:  0.00032
smiles: CN=C(NCCOC)NCC1=CC(=CC=C1)OCCN(C)C, s:  0.00032
node ID: 13114_cj, ground truth SMILE: COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
top 20 test cadidates: 
smiles: COC1=CC(=CC(=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC, s:  0.00036
smiles: COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC, s:  0.00032
smiles: COC1=CC=CC(=C1)C2=C(C(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC, s:  0.00032
smiles: COC1=C(C(=CC=C1)OC)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC, s:  0.00031
smiles: COC1=CC(=C(C=C1)OC)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC, s:  0.00031
smiles: COC1=CC(=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC, s:  0.00031
smiles: COCOC1=C(C2=C(C(=C1OC)OC)OC(=CC2=O)C3=CC=C(C=C3)OC)OC, s:  0.00030
smiles: COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)CO)CO)OC)OC, s:  0.00026
smiles: COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=C(O2)C(=C(C=C3OC)OC)OC, s:  0.00026
smiles: COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=C(O2)C(=CC(=C3OC)OC)OC, s:  0.00026
smiles: COC1=CC(=C(C(=C1)OC)C2=CC(=O)C3=C(O2)C(=C(C=C3OC)OC)OC)OC, s:  0.00025
smiles: CCC1=CC=C(C=C1)CN2C(=O)C=CC(=N2)C3=CC=C(C=C3)OCC(F)(F)P, s:  0.00025
smiles: COC1=CC=C(C=C1)C2=C(C(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC, s:  0.00025
smiles: CCCC1CCN2C(=NC(=C(C2=O)Br)C3=CC=C(C=C3)C(C)(C)C)C1, s:  0.00025
smiles: CCC1=NC=CC(=C1Br)NC2CCC(CC2)C3=CC(=CC=C3)OCC, s:  0.00025
smiles: CCN(CC)C1=C(C=C(C=C1)C(C)C2=CC=CCC=C2C(=O)NC)Br, s:  0.00025
smiles: CCCCC1=CC=C(C=C1)[C@@H](C2=CC=CS2)NC3=[NH+]C=C(C=C3)S(=O)(=O)N, s:  0.00025
smiles: COC1=CC=CC2=C1C(=O)C=C(O2)C3=C(C(=C(C(=C3OC)OC)OC)OC)OC, s:  0.00025
smiles: CCC1=NC=CC(=C1Br)NC2CCC(CC2)C3=CC=C(C=C3)OCC, s:  0.00025
smiles: CC1=C(C(=CC=C1)CCC2=C(C=CC(=C2)Br)OC)CN3CCNCC3, s:  0.00025
node ID: 2646_hyneg, ground truth SMILE: C1=CC(=CC=C1CCO)O
top 20 test cadidates: 
smiles: C1=CC(=CC(=C1)CO)CO, s:  0.00063
smiles: C1=CC(=CC(=C1)O)CCO, s:  0.00061
smiles: COCC1=CC(=CC=C1)O, s:  0.00054
smiles: COC1=CC=CC(=C1)CO, s:  0.00047
