node ID: 2079_hp, ground truth SMILE: COC(=O)CC1=CNC2=CC=CC=C21
smiles: CCCCCC/C=C\CCCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCCCC=CCCCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCCCCC=CCCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCCCC/C=C/CCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCCCCCC=CCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCCCCC/C=C\CCCCCCCC(=O)N, s:  0.00055
node ID: 1088_hp, ground truth SMILE: CC(=O)NC1=CC=C(C=C1)O
top 10 test cadidates: 
smiles: CC(=O)NC1=CC=C(C=C1)O, s:  0.00059
smiles: CC(=O)NC1=CC(=CC=C1)O, s:  0.00056
smiles: COC(=O)NC1=CC=CC=C1, s:  0.00056
smiles: CC(=O)ONC1=CC=CC=C1, s:  0.00055
smiles: C1=CC=C(C=C1)NC(=O)CO, s:  0.00051
smiles: CC(=O)NC1=CC=CC=C1O, s:  0.00051
smiles: CC(=O)N(C1=CC=CC=C1)O, s:  0.00048
smiles: CC(=O)[NH+](C1=CC=CC=C1)[O-], s:  0.00048
smiles: CC(=O)C1=CC(=CC=C1)NO, s:  0.00048
smiles: CC(=O)C1=CC=CC=C1NO, s:  0.00047
node ID: 8730_sedi, ground truth SMILE: CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
top 10 test cadidates: 
smiles: CCCCCCC(CN1C=NC=N1)(C2=CC=CC=C2Cl)O, s:  0.00013
smiles: CCCCCCC(CN1C=NC=N1)(C2=CC=C(C=C2)Cl)O, s:  0.00012
smiles: CCCCCCC(CN1C=NC=N1)(C2=CC(=CC=C2)Cl)O, s:  0.00012
smiles: CCCCC(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O, s:  0.00012
smiles: CCCCC(CN1C=NC=N1)(COC)C2=CC=C(C=C2)Cl, s:  0.00010
smiles: CC(C)(C)[C@@](CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O, s:  0.00010
smiles: CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O, s:  0.00010
smiles: CC(C)(C)[C@](CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O, s:  0.00010
smiles: CCC(CN1C=NC=N1)(C(C)(C)CC2=CC=C(C=C2)Cl)O, s:  0.00010
smiles: CC[C@@](CN1C=NC=N1)(C(C)(C)CC2=CC=C(C=C2)Cl)O, s:  0.00010
node ID: 9085_sedi, ground truth SMILE: CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
top 10 test cadidates: 
smiles: C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C4CO4)CCC5=CC(=O)CC[C@]35C, s:  0.00032
smiles: CC12CCC3C(C1CCC2CC=O)CCC4=CC(=O)CCC34C, s:  0.00031
smiles: C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2CC=O)CCC4=CC(=O)CC[C@]34C, s:  0.00031
smiles: CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C, s:  0.00031
smiles: CC(=O)[C@@H]1CC[C@@H]2[C@@]1(CC[C@@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C, s:  0.00031
smiles: CC(=O)[C@@H]1CC[C@H]2[C@]1(CC[C@@H]3[C@@H]2CCC4=CC(=O)CC[C@]34C)C, s:  0.00031
smiles: CC(=O)[C@H]1CC[C@@H]2[C@]1(CC[C@@H]3[C@H]2CCC4=CC(=O)CC[C@@]34C)C, s:  0.00031
smiles: CC(=O)[C@@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C, s:  0.00031
smiles: CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C, s:  0.00031
smiles: CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@@H]3[C@H]2CCC4=CC(=O)CC[C@@]34C)C, s:  0.00031
node ID: 16492_cj, ground truth SMILE: C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO
top 10 test cadidates: 
smiles: C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO, s:  0.04638
smiles: CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO, s:  0.02963
smiles: CC(C)(C)OCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO, s:  0.02836
smiles: C(CCCCCCOC[C@@H]([C@@H](CO)O)O[C@@H](COCCCCCCCCCCCCO)[C@@H](CO)O)CCCCCO, s:  0.02802
smiles: CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCCCCCCC, s:  0.02543
smiles: CCCCCCCCCCCCCCCOCC(C)OCCOCCOCCOCCOCCOCCOCCO, s:  0.02383
smiles: CCCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCO, s:  0.02339
smiles: CCCCCCCCCCCCCCOCC(C)OCC(C)OCCOCCOCCOCCOCCOCCO, s:  0.02339
smiles: CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCO, s:  0.02339
smiles: CCCCOCC(CC)(COC)COCC(CC)(COC)COCC(CC)(COC)COCC(CC)(CO)COC, s:  0.02325
node ID: 4589_hyneg, ground truth SMILE: C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O
top 10 test cadidates: 
smiles: C1=CC=C2C(=C1)C=C(N2)C(=O)C(=O)O, s:  0.00119
smiles: C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O, s:  0.00100
smiles: C1=CC=C2C(=C1)C=C(NC2=O)C(=O)O, s:  0.00099
smiles: C1=CC=C2C(=C1)C=C(N2)C(=O)OC=O, s:  0.00099
smiles: C1=CC=C2C(=C1)C=C(C(=O)N2)C(=O)O, s:  0.00099
smiles: C1=CC2=C(C=C1C=O)NC(=C2)C(=O)O, s:  0.00095
smiles: C1=CC2=C(C=C1C=O)C=C(N2)C(=O)O, s:  0.00095
smiles: C1=CC(=C2C=C(NC2=C1)C(=O)O)C=O, s:  0.00087
smiles: C1=CC2=C(C(=C1)C=O)NC(=C2)C(=O)O, s:  0.00087
smiles: C1=CC2=C(C=CC(=O)N2)C=C1C(=O)O, s:  0.00079
node ID: 14827_cj, ground truth SMILE: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
top 10 test cadidates: 
smiles: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O, s:  0.03558
smiles: CC(COC(C)COC(C)COC(C)COCC(C)OCC(C)OCC(C)OCC(C)O)O, s:  0.02857
smiles: CC(COCC(C)OC(C)(C)OC(C)COCC(C)OC(C)(C)OC(C)COCC(C)O)O, s:  0.01089
smiles: CN1CCC2C3CC(CCC3C2C1)C4CN(C(S4)NCC(CC5CCC(C(C5)F)OC)N)C, s:  0.00956
smiles: CC/C=C/C/C=C/C/C=C/CCCCCCC(=O)OCC(COCCC(C(=O)O)[N+](C)(C)C)O, s:  0.00938
smiles: CCCCCCCCCCCCCC1=CC(=O)NC(=N1)NC(=O)NCCOCCOCCOC, s:  0.00936
smiles: CC1=C(C(=NN1C)C)CN2CCCCOC[C@H]([C@H]([C@@H](CN(CC2)C(=O)C)OCCC(C)C)O)O, s:  0.00932
smiles: CCC1=NC(=C(N1)C)CN2CCCCOC[C@H]([C@H]([C@@H](CN(CC2)C(=O)C)OCCC(C)C)O)O, s:  0.00930
smiles: CCCN1C=C(C=N1)CN2CCCCOC[C@H]([C@H]([C@@H](CN(CC2)C(=O)C)OCCC(C)C)O)O, s:  0.00930
smiles: CC(C)CCO[C@@H]1CN(CCN(CCCCOC[C@H]([C@H]1O)O)CC2=CC=NN2C(C)C)C(=O)C, s:  0.00929
node ID: 6435_hp, ground truth SMILE: CCCC/C=C/C=C/C=C\CCCCCCCC(=O)O
top 10 test cadidates: 
smiles: CCCCCCOC1=CC=CC=C1OCCCCCC, s:  0.00026
smiles: CCCCCCOC1=CC=C(C=C1)OCCCCCC, s:  0.00026
smiles: CCCCCCCCCCCOC1=CC=CC=C1OC, s:  0.00025
smiles: CCCCCCCCCCOC1=CC=C(C=C1)OCC, s:  0.00025
smiles: CCCCCCCCCCOC1=CC=CC=C1[C@H](C)O, s:  0.00025
smiles: CCCCCCCCCCOC1=CC=CC=C1C(C)O, s:  0.00025
smiles: CCCCCCCCCCOC1=CC=CC=C1[C@@H](C)O, s:  0.00025
smiles: CCCCCCCCCOC1=CC=CC=C1[C@@H](CC)O, s:  0.00025
smiles: CCCCCCCCCOC1=CC=CC=C1C(CC)O, s:  0.00025
smiles: CCCCCCOC1=CC(=CC=C1)OCCCCCC, s:  0.00025
node ID: 9415_cj, ground truth SMILE: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O
top 10 test cadidates: 
smiles: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O, s:  0.00058
smiles: CC(COC(C)COCC(C)OCC(C)OCC(C)O)O, s:  0.00052
smiles: CCCOCC(COC(C)COC(C)COC(C)CO)O, s:  0.00044
smiles: CC(COC(C)COC(CCC(CC(C)(C)O)O)CO)O, s:  0.00041
smiles: CC(COCCOCCCCOCC(C)OCC(C)O)O, s:  0.00040
smiles: CC(CO)OC(C)COCC(C)OC(C)COCC(C)O, s:  0.00040
smiles: CC(COC(C)COC(C)C(C(CCCCCO)O)O)O, s:  0.00039
smiles: CCC(COCC(C)O)(COCC(C)O)COC(C)CO, s:  0.00037
smiles: CCCC(C(COC(C)CO)OC(C)CO)OC(C)CO, s:  0.00035
smiles: CC(COCC(C)OCCOC(C)COCC(C)OC)O, s:  0.00035
node ID: 13114_cj, ground truth SMILE: COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
top 10 test cadidates: 
smiles: COC1=CC(=CC(=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC, s:  0.00036
smiles: COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC, s:  0.00032
smiles: COC1=CC=CC(=C1)C2=C(C(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC, s:  0.00032
smiles: COC1=C(C(=CC=C1)OC)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC, s:  0.00031
smiles: COC1=CC(=C(C=C1)OC)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC, s:  0.00031
smiles: COC1=CC(=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC, s:  0.00031
smiles: COCOC1=C(C2=C(C(=C1OC)OC)OC(=CC2=O)C3=CC=C(C=C3)OC)OC, s:  0.00030
smiles: COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)CO)CO)OC)OC, s:  0.00026
smiles: COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=C(O2)C(=CC(=C3OC)OC)OC, s:  0.00026
smiles: COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=C(O2)C(=C(C=C3OC)OC)OC, s:  0.00026
node ID: 2646_hyneg, ground truth SMILE: C1=CC(=CC=C1CCO)O
top 10 test cadidates: 
smiles: C1=CC(=CC(=C1)CO)CO, s:  0.00063
smiles: C1=CC(=CC(=C1)O)CCO, s:  0.00061
smiles: COCC1=CC(=CC=C1)O, s:  0.00054
smiles: COC1=CC=CC(=C1)CO, s:  0.00047
smiles: C1=CC=C(C(=C1)[NH2+]O)N=N, s:  0.00044
smiles: CC1=CC(=CC(=C1)O)CO, s:  0.00044
smiles: C1=CC(=C[N+](=C1)N)C(=O)N, s:  0.00043
smiles: CC1=C(C=C(C=C1)CO)O, s:  0.00043
smiles: CC1=C(C=CC(=C1)CO)O, s:  0.00043
smiles: C1=C[N+](=CC=C1C(=O)N)N, s:  0.00043
node ID: 8579_cj, ground truth SMILE: CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl
top 10 test cadidates: 
smiles: CC(C)(C)C(=O)[C@@H](N1C=NN=C1)OC2=CC=C(C=C2)Cl, s:  0.00027
smiles: CC(C)(C)C(=O)C(N1N=CC=N1)OC2=CC=C(C=C2)Cl, s:  0.00025
smiles: CC(C)(C)C(=O)C(N1C=CN=N1)OC2=CC=C(C=C2)Cl, s:  0.00024
smiles: CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl, s:  0.00024
smiles: CC(C)(C)C(=O)C(N1C=CN=C1)OC2=NC(=CC=C2)Cl, s:  0.00023
smiles: CC(C)(C)C(C(=O)N1C=NC=N1)OC2=CC=C(C=C2)Cl, s:  0.00021
smiles: CC(C)(CC(=O)N1C=NC=N1)COC2=CC=C(C=C2)Cl, s:  0.00020
smiles: CC(C)(C)C(=O)C(C1=NNN=C1)OC2=CC=C(C=C2)Cl, s:  0.00019
smiles: CC(C)(C)C(=O)C(C1=NC=NN1)OC2=CC=C(C=C2)Cl, s:  0.00019
smiles: CC1=NN(C=N1)C(C(=O)C(C)C)OC2=CC=C(C=C2)Cl, s:  0.00019
node ID: 4656_hp, ground truth SMILE: CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C
top 10 test cadidates: 
smiles: CCN1C(=C(C(=O)N1C2=CC=CC=C2)NC=O)C, s:  0.00010
smiles: CCN1C(=O)C(=C(N1C2=CC=CC=C2)C)NC=O, s:  0.00009
smiles: CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C, s:  0.00009
smiles: CCC1=C(C(=O)N(N1C2=CC=CC=C2)C)NC=O, s:  0.00009
smiles: CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C=O, s:  0.00008
smiles: CC1=C(C(=O)N(N1C2=CC=CC=C2)C)NC(=O)C, s:  0.00007
smiles: CC1=C(C(=O)N(N1C)C2=CC=CC=C2)CC(=O)N, s:  0.00007
smiles: CN1C(=C(C(=O)N1C2=CC=CC=C2)N(C)C)C=O, s:  0.00007
smiles: CC1=CC(=CC=C1)N2C(=O)C(=C(N2C)C)C(=O)N, s:  0.00006
smiles: CCCN1C(=C(C(=O)N1C2=CC=CC=C2)N=O)C, s:  0.00006
node ID: 2151_hyneg, ground truth SMILE: C1=CC(=CC=C1CO)O
top 10 test cadidates: 
smiles: CO[N-]C1=NN=CC=C1, s:  0.00093
smiles: COP(NN)NN, s:  0.00093
smiles: COC1=NN=C(C=C1)[NH-], s:  0.00091
smiles: C1=CC(=C[15NH+]=C1)C(=O)N, s:  0.00090
smiles: COOC1=CC=CC=C1, s:  0.00090
smiles: C1=C(N=CC(=N1)[NH-])CO, s:  0.00090
smiles: C1=C[N+](=CC=C1N=N)O, s:  0.00090
smiles: CP(=O)(NN)NN, s:  0.00089
smiles: CC(=O)C1=CN=NC1=[NH2+], s:  0.00089
smiles: CP[NH+]([NH+](N)[NH-])[O-], s:  0.00089
node ID: 14826_cj, ground truth SMILE: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
top 10 test cadidates: 
smiles: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O, s:  0.00948
smiles: CC(COC(C)COC(C)COC(C)COCC(C)OCC(C)OCC(C)OCC(C)O)O, s:  0.00849
smiles: CCCCOC(=O)C[C@H]1C[C@@H](OC(O1)(C)C)/C=C/C=C/CCC[C@@H](C)O[Si](C)(C)C(C)(C)C, s:  0.00538
smiles: CN1CCC2C3CC(CCC3C2C1)C4CN(C(S4)NCC(CC5CCC(C(C5)F)OC)N)C, s:  0.00524
smiles: CC(COCC(C)OC(C)(C)OC(C)COCC(C)OC(C)(C)OC(C)COCC(C)O)O, s:  0.00524
smiles: C[C@]12CC[C@@H]([C@H]([C@@H]1CCC2=C)CN=[N+]=[N-])[C@]3(CC4=C(C[C@@H]3CO[Si](C)(C)C(C)(C)C)NC=C4)C, s:  0.00524
smiles: C[C@H](CCCCC(=O)OC(C)(C)C)/C=C(\C)/[C@H]1[C@H](C=C[C@@H](O1)CCO[Si](C)(C)C(C)(C)C)O, s:  0.00523
smiles: C[C@H](COCC1=CC=C(C=C1)OC)[C@@H](C[C@H](CCO)CCO[Si](C(C)C)(C(C)C)C(C)C)O, s:  0.00522
smiles: C[C@@H]1C[C@@H]([C@H](OC1=O)[C@H](C[C@@H](C)C/C(=C/[C@@H](CC=C)CO[Si](C)(C)C(C)(C)C)/C)OC)OC, s:  0.00515
smiles: CC(C)(C)[Si](C)(C)O[C@@H]1CC(=O)[C@@H]([C@H]1C=CCCCCCCO)CCCCCCC(=O)OC, s:  0.00509
node ID: 2673_sedi, ground truth SMILE: CC(=NCCC1=CC=NC=C1)N
top 10 test cadidates: 
smiles: CCN(C1=CC=CC=C1)C(=N)N, s:  0.00033
smiles: CCC(=N)N(C1=CC=CC=C1)N, s:  0.00030
smiles: CN(CC(=N)N)C1=CC=CC=C1, s:  0.00029
smiles: CN(CC1=CC=CC=C1)C(=N)N, s:  0.00027
smiles: C/C(=C/N(C1=CC=CC=C1)N)/N, s:  0.00027
smiles: CN(C)C1=CC=CC(=C1)C(=N)N, s:  0.00026
smiles: C/C(=C/N)/N(C1=CC=CC=C1)N, s:  0.00026
smiles: CN(C)C1=CC=CC=C1C(=N)N, s:  0.00026
smiles: CN(C)/N=C(/C1=CC=CC=C1)\N, s:  0.00026
smiles: CN(C)N=C(C1=CC=CC=C1)N, s:  0.00026
node ID: 1431_hyneg, ground truth SMILE: CC(CC(=O)O)O
top 10 test cadidates: 
smiles: C(CC(=O)O)CO, s:  0.00358
smiles: COCCC(=O)O, s:  0.00316
smiles: CCOOCC=O, s:  0.00295
smiles: CCC(=O)OOC, s:  0.00294
smiles: CC(=O)COOC, s:  0.00294
smiles: CCOOC(=O)C, s:  0.00294
smiles: CCOCC(=O)O, s:  0.00293
smiles: CCOO/C=C/O, s:  0.00292
smiles: COOCCC=O, s:  0.00290
smiles: CCCC(=O)OO, s:  0.00289
node ID: 9049_hyneg, ground truth SMILE: COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=C(C=C3)O)O
top 10 test cadidates: 
smiles: COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC(=C(C=C3)O)O)O, s:  0.00029
smiles: COC1=C(C=C(C=C1)C2=COC3=CC(=C(C=C3C2=O)O)O)O, s:  0.00027
smiles: COC1=C(C=C2C(=C1)OC=C(C2=O)C3=CC(=C(C=C3)O)O)O, s:  0.00027
smiles: COC1=C(C(=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O)O, s:  0.00025
smiles: COC1=C(C=C(C(=C1)O)C2=COC3=C(C2=O)C=CC(=C3)O)O, s:  0.00025
smiles: COC1=CC(=CC(=C1O)O)C2=COC3=C(C2=O)C=CC(=C3)O, s:  0.00024
smiles: COC1=C(C(=C2C(=C1)OC=C(C2=O)C3=CC=C(C=C3)O)O)O, s:  0.00024
smiles: COC1=C(C2=C(C=C1O)OC=C(C2=O)C3=CC=C(C=C3)O)O, s:  0.00023
smiles: COC1=CC(=C(C=C1C2=COC3=C(C2=O)C=CC(=C3)O)O)O, s:  0.00022
smiles: COC1=C(C=C(C=C1O)C2=COC3=C(C2=O)C=CC(=C3)O)O, s:  0.00022
node ID: 3435_cj, ground truth SMILE: COC1=CC=C(C=C1)N2CCNCC2
top 10 test cadidates: 
smiles: CCN(CC)C(=O)C1=CC(=CC=C1)N, s:  0.00013
smiles: CC1=CC(=CC=C1)C(=O)N(C)CCN, s:  0.00012
smiles: CCN(CC)C(=O)C1=CN=CC(=C1)C, s:  0.00011
smiles: CCN(CC)C(=O)C1=NC=CC(=C1)C, s:  0.00011
smiles: CCN(CC)C(=O)C1=CC(=NC=C1)C, s:  0.00011
smiles: CCN(CC)C(=O)C1=CC=C(C=C1)N, s:  0.00010
smiles: CCN(C)C(=O)C1=CC=CC(=C1)CN, s:  0.00010
smiles: CCN(CCN)C(=O)C1=CC=CC=C1, s:  0.00010
smiles: CCN(CC)C(=O)C1=CC=CC(=N1)C, s:  0.00010
smiles: CCN(CC)C(=O)C1=CN=C(C=C1)C, s:  0.00010
node ID: 6385_sedi, ground truth SMILE: CCCCCCCCCCCCCCCC(=O)N
top 10 test cadidates: 
smiles: CCCCCCCCCCCCCCCC(=O)N, s:  0.00051
smiles: CCCCCCCCC(C)CCCCCC(=O)N, s:  0.00045
smiles: CCCCCCCCCCCCCCC(=O)CN, s:  0.00040
smiles: CCCCCCC(CCCCCC)CCC(=O)N, s:  0.00040
smiles: CCCCCCCCCC(CC)CCCC(=O)N, s:  0.00040
smiles: CCCCCCCCCC(C)(C)CCCC(=O)N, s:  0.00040
smiles: CCCCCCCCCCCCCC(=O)CCN, s:  0.00039
smiles: CCCCCCCCCCCCC(=O)CCCN, s:  0.00038
smiles: CCCCCCC(C)(CCCC)CCCC(=O)N, s:  0.00038
smiles: CCCCCCCCCCCCCC(=O)C(C)N, s:  0.00038
node ID: 10821_cj, ground truth SMILE: CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N
top 10 test cadidates: 
smiles: CCCCCCCCCCCCC=CCCCCCCCC(=O)N, s:  0.00551
smiles: CCCCCCCCCCCC/C=C\CCCCCCCC(=O)N, s:  0.00551
smiles: CCCCCCCCCC/C=C/CCCCCCCCCC(=O)N, s:  0.00551
smiles: CCCCCCCCCCC=CCCCCCCCCCC(=O)N, s:  0.00551
smiles: CCCCCCCCCC=CCCCCCCCCCCC(=O)N, s:  0.00550
smiles: CCCCCCCC=CCCCCCCCCCCCCC(=O)N, s:  0.00550
smiles: CCCCCCC/C=C/CCCCCCCCCCCCC(=O)N, s:  0.00550
smiles: CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N, s:  0.00550
smiles: CCCCCCCC/C=C/CCCCCCCCCCCC(=O)N, s:  0.00550
smiles: CCCCCCCCC=CCCCCCCCCCCCC(=O)N, s:  0.00550
node ID: 5678_hp, ground truth SMILE: CNC1=C2C(=NC=N1)N(C=N2)C3CC(C(O3)CO)O
top 10 test cadidates: 
smiles: CC1=NC(=C2C(=N1)N(C=N2)C3CC(C(O3)CO)O)N, s:  0.00079
smiles: CC1=NC(=C2C(=N1)N(C=N2)[C@H]3C[C@@H]([C@H](O3)CO)O)N, s:  0.00079
smiles: CC1=NC(=C2C(=N1)N(C=N2)[C@H]3CC([C@H](O3)CO)O)N, s:  0.00079
smiles: CC1=NC(=C2C(=N1)N(C=N2)[C@H]3C[C@H]([C@H](O3)CO)O)N, s:  0.00079
smiles: CNC1=C2C(=NC=N1)N(C=N2)[C@@H]3C[C@H]([C@@H](O3)CO)O, s:  0.00079
smiles: CNC1=C2C(=NC=N1)N(C=N2)[C@H]3CC([C@H](O3)CO)O, s:  0.00079
smiles: CNC1=C2C(=NC=N1)N(C=N2)[C@H]3C[C@H]([C@@H](O3)CO)O, s:  0.00079
smiles: CNC1=C2C(=NC=N1)N(C=N2)[C@H]3C[C@H]([C@H](O3)CO)O, s:  0.00079
smiles: CNC1=C2C(=NC=N1)N(C=N2)[C@H]3C[C@@H]([C@H](O3)CO)O, s:  0.00079
smiles: CNC1=C2C(=NC=N1)N(C=N2)C3CC(C(O3)CO)O, s:  0.00079
node ID: 7229_cj, ground truth SMILE: CCCCOP(=O)(OCCCC)OCCCC
top 10 test cadidates: 
smiles: CCOP(=O)(OCC(C)(C)C)OCC(C)(C)C, s:  0.00201
smiles: CCCCCOP(=O)(OCC)OCCCCC, s:  0.00194
smiles: CCCCCCCCOP(=O)(OCC)OCC, s:  0.00189
smiles: CCOP(=O)(OCCC(C)C)OCCC(C)C, s:  0.00186
smiles: CCCCCCOP(=O)(OCC)OCCCC, s:  0.00181
smiles: CCC(CC)OP(=O)(OCC)OC(CC)CC, s:  0.00174
smiles: CCCCCCCOP(=O)(OCC)OCCC, s:  0.00173
smiles: CCCCOP(=O)(OCCCC)OCCCC, s:  0.00162
smiles: CCCC(C)OP(=O)(OCC)OC(C)CCC, s:  0.00159
smiles: CCCCC(CC)COP(=O)(OCC)OCC, s:  0.00158
node ID: 2275_cj, ground truth SMILE: C1=CC=C(C=C1)CC(C(=O)O)N
top 10 test cadidates: 
smiles: C1CC2=C(CC(N2)C(=O)O)C=C1, s:  0.00025
smiles: C1CC2=C(C=C1)NC(C2)C(=O)O, s:  0.00025
smiles: C=CC1=C(NC(C1)C(=O)O)C=C, s:  0.00025
smiles: C1CC=C2C(=C1)CC(N2)C(=O)O, s:  0.00025
