node ID: 2646_hyneg, ground truth SMILE: C1=CC(=CC=C1CCO)O
smiles: CCCCCCCCCCCCCCCC(=O)NCCOCC, s:  0.02065
smiles: CCCCCCCCCCCCCCCC(=O)NCCCOC, s:  0.02063
smiles: CCCCCCCCCCCCCCCC(=O)NCCC(C)O, s:  0.02061
node ID: 4482_cj, ground truth SMILE: C1=CC=C(C=C1)N(C2=CC=CC=C2)C(=O)N
top 10 test cadidates: 
smiles: C1=CC=C(C=C1)C2=CC(=CC(=C2)N)C(=O)N, s:  0.00377
smiles: C1=CC(=C(C=C1C(=O)N)F)OCCCN, s:  0.00372
smiles: C1=CC(=C(C=C1C(=O)N)COCCN)F, s:  0.00335
smiles: C1=CC(=C(C=C1C(=O)N)F)COCCN, s:  0.00319
smiles: C1=CC(=C(C=C1C(=O)N)CNCCO)F, s:  0.00303
smiles: C1=CC=C(C=C1)C(=O)C2=CC(=CC(=C2)N)N, s:  0.00286
smiles: CC1=CC(=CC=C1)C(=O)C2=C(C=CC=N2)N, s:  0.00279
smiles: C1=CC=C(C=C1)C2=C(C=C(C=C2)C(=O)N)N, s:  0.00275
smiles: C1=CC=C(C=C1)C2=C(C=CC(=C2)C(=O)N)N, s:  0.00275
smiles: CC1=CC=CC=C1C2=NC=CC(=C2)C(=O)N, s:  0.00261
node ID: 5752_hp, ground truth SMILE: CCCCOP(=O)(OCCCC)OCCCC
top 10 test cadidates: 
smiles: CCC(CC)OP(=O)(OCC)OC(CC)CC, s:  0.00624
smiles: CCOP(=O)(OCC(C)(C)C)OCC(C)(C)C, s:  0.00232
smiles: CCCCCOP(=O)(OCC)OCCCCC, s:  0.00226
smiles: CCCC(C)OP(=O)(OCC)OC(C)CCC, s:  0.00221
smiles: CCOP(=O)(OCCC(C)C)OCCC(C)C, s:  0.00219
smiles: CCCCCCOP(=O)(OCC)OCCCC, s:  0.00209
smiles: CCCCCCCOP(=O)(OCC)OCCC, s:  0.00198
smiles: CCCCOP(=O)(OCCCC)OCCCC, s:  0.00174
smiles: CCOP(=O)(CCCCCCCCO)OCC, s:  0.00170
smiles: CCCCCCCCOP(=O)(OCC)OCC, s:  0.00162
node ID: 9353_cj, ground truth SMILE: CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
top 10 test cadidates: 
smiles: CCCCC(CN1C=NC=N1)(COC)C2=CC=C(C=C2)Cl, s:  0.00370
smiles: CCCCCCC(CN1C=NC=N1)(C2=CC=C(C=C2)Cl)O, s:  0.00346
smiles: CCC(C)C(C)C(CN1C=NC=N1)(C2=CC=C(C=C2)Cl)O, s:  0.00218
smiles: CCCCCCC(CN1C=NC=N1)(C2=CC(=CC=C2)Cl)O, s:  0.00206
smiles: CCCCCCC(CN1C=NC=N1)(C2=CC=CC=C2Cl)O, s:  0.00150
smiles: CCCCC(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O, s:  0.00126
smiles: CCCNC(CCN1C=C(C=N1)Cl)(CO)C2=CC=CC=C2, s:  0.00113
smiles: CC(C)NC(CCN1C=C(C=N1)Cl)(CO)C2=CC=CC=C2, s:  0.00093
smiles: CCCNC(CN1C=C(C(=N1)C)Cl)(CO)C2=CC=CC=C2, s:  0.00093
smiles: CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O, s:  0.00081
node ID: 3773_hyneg, ground truth SMILE: C1=CC=C(C=C1)CC(C(=O)O)O
top 10 test cadidates: 
smiles: C1=CC=C(C=C1)CC([SiH3])[SiH3], s:  0.02094
smiles: CC(=O)OOCC1=CC=CC=C1, s:  0.01434
smiles: COC(=O)OCC1=CC=CC=C1, s:  0.00903
smiles: CC(=O)OCOC1=CC=CC=C1, s:  0.00465
smiles: CC(C(=O)C)C(=O)C1=CC=CO1, s:  0.00380
smiles: C1=CC=C(C=C1)C[C@@H](C(=O)O)O, s:  0.00370
smiles: C1=CC=C(C=C1)C[C@H](C(=O)O)O, s:  0.00370
smiles: C1=CC=C(C=C1)CC(C(=O)O)O, s:  0.00370
smiles: CC(=O)CCC(=O)C1=CC=CO1, s:  0.00329
smiles: CCOC(=O)OC1=CC=CC=C1, s:  0.00253
node ID: 11585_hp, ground truth SMILE: C(COCCOCCOCCOCCOCCOCCOCCO)O
top 10 test cadidates: 
smiles: C(COCCOCC(COCCOCCO)COCCOCCO)O, s:  0.01204
smiles: CC(COCCOCCO)(COCCOCCO)OCCOCCO, s:  0.00825
smiles: C(COCCOCCOCCOCCOCCOCCOCCO)O, s:  0.00795
smiles: C(COCCOCCOCCO)COCOCCOCCOCCO, s:  0.00738
smiles: C(CCOCCOCCOCCOO)COCCOCCOCCO, s:  0.00692
smiles: COC(COCCOCCOCCOCCOCCOCCO)OC, s:  0.00576
smiles: CCOCCOCCOCCOOCCOCCOCCOCCO, s:  0.00432
smiles: C(CC(OCCO)OCCO)COCCCC(OCCO)OCCO, s:  0.00401
smiles: CCOC(COCCOCCOCCOCCOCCOCCO)O, s:  0.00383
smiles: C(CCOCCO)CCOCOOCCOCCOCCOCCO, s:  0.00329
node ID: 7840_cj, ground truth SMILE: CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C
top 10 test cadidates: 
smiles: CCCCOC(=O)CC(CC)OC(=O)C1=CC=CC=C1, s:  0.00454
smiles: CCCCOC(=O)CCCCC(=O)OC1=CC=CC=C1, s:  0.00439
smiles: CCCCOC(=O)CCCC(=O)OCC1=CC=CC=C1, s:  0.00414
smiles: CCCCOC(=O)C(CCC)OC(=O)C1=CC=CC=C1, s:  0.00392
smiles: CCCCOC(=O)CCC(=O)OCCC1=CC=CC=C1, s:  0.00372
smiles: CCOC(=O)C(C)(C)CCCOC(=O)C1=CC=CC=C1, s:  0.00342
smiles: C1=CC=C(C=C1)C(=O)OCCCCCCCCC(=O)O, s:  0.00336
smiles: CCCOC(=O)C1=C(C=C(C=C1)CC)C(=O)OCCC, s:  0.00332
smiles: CCCCCOC(=O)CC1=CC=CC=C1C(=O)OCC, s:  0.00320
smiles: CCCCOC(=O)CCC(C)OC(=O)C1=CC=CC=C1, s:  0.00311
node ID: 6307_hypos, ground truth SMILE: CCCCOC(=O)C1=CC=CC=C1
top 10 test cadidates: 
smiles: CCOC(=O)CCC1=CC=CC=C1, s:  0.00560
smiles: CC(C(=O)CCC1=CC=CC=C1)O, s:  0.00516
smiles: COC(=O)CCCC1=CC=CC=C1, s:  0.00500
smiles: CC(=O)OCCCC1=CC=CC=C1, s:  0.00491
smiles: C1=CC=C(C=C1)CCC(=O)CCO, s:  0.00463
smiles: C1=CC=C(C=C1)CCCC(=O)CO, s:  0.00444
smiles: COCC(=O)CCC1=CC=CC=C1, s:  0.00400
smiles: C1=CC=C(C=C1)CC(=O)CCCO, s:  0.00344
smiles: CCCC(=O)OCC1=CC=CC=C1, s:  0.00338
smiles: C1=CC=C(C=C1)CCCCC(=O)O, s:  0.00299
node ID: 5613_hypos, ground truth SMILE: CCC(C1=CC=CC=C1)C(=O)O
top 10 test cadidates: 
smiles: COC(=O)CCC1=CC=CC=C1, s:  0.00570
smiles: CC(=O)OCCC1=CC=CC=C1, s:  0.00558
smiles: C1=CC=C(C=C1)CCC(=O)CO, s:  0.00524
smiles: C1=CC=C(C=C1)CCCC(=O)O, s:  0.00507
smiles: C1=CC=C(C=C1)CC(=O)CCO, s:  0.00277
smiles: CC1=CC=C(C=C1)CCC(=O)O, s:  0.00235
smiles: CCCC(=O)OC1=CC=CC=C1, s:  0.00232
smiles: C1=CC=C(C=C1)C(=O)CCCO, s:  0.00226
smiles: CCC(=O)OCC1=CC=CC=C1, s:  0.00224
smiles: CC(=C)COOC1=CC=CC=C1, s:  0.00220
node ID: 12690_cj, ground truth SMILE: C(COCCOCCOCCOCCOCCOCCOCCO)O
top 10 test cadidates: 
smiles: C(COCCOCC(COCCOCCO)COCCOCCO)O, s:  0.05833
smiles: C(COCCOCCOCCOCCOCCOCCOCCO)O, s:  0.04582
smiles: C(COCCOCCOCCO)COCOCCOCCOCCO, s:  0.04434
smiles: C(CCOCCO)CCOCOOCCOCCOCCOCCO, s:  0.03068
smiles: CC(COCCOCCO)(COCCOCCO)OCCOCCO, s:  0.03058
smiles: C(CCOCCOCCOCCOO)COCCOCCOCCO, s:  0.02861
smiles: C(CC(OCCO)OCCO)COCCCC(OCCO)OCCO, s:  0.02598
smiles: COC(COCCOCCOCCOCCOCCOCCO)OC, s:  0.02524
smiles: CCOCCOCCOCCOOCCOCCOCCOCCO, s:  0.02378
smiles: CCOC(COCCOCCOCCOCCOCCOCCO)O, s:  0.01907
node ID: 3772_hyneg, ground truth SMILE: C1=CC=C(C=C1)CC(C(=O)O)O
top 10 test cadidates: 
smiles: C1=CC=C(C=C1)CC([SiH3])[SiH3], s:  0.04804
smiles: CC(=O)OOCC1=CC=CC=C1, s:  0.01660
smiles: COC(=O)OCC1=CC=CC=C1, s:  0.01088
smiles: C1=CC=C(C=C1)C[C@@H](C(=O)O)O, s:  0.00639
smiles: C1=CC=C(C=C1)CC(C(=O)O)O, s:  0.00639
smiles: C1=CC=C(C=C1)C[C@H](C(=O)O)O, s:  0.00639
smiles: CC(=O)OCOC1=CC=CC=C1, s:  0.00463
smiles: C1=CC=C(C=C1)CC[SiH2][SiH3], s:  0.00375
smiles: C1=CC=C(C=C1)CC(=O)C(O)O, s:  0.00357
smiles: COOC(=O)CC1=CC=CC=C1, s:  0.00348
node ID: 10926_cj, ground truth SMILE: CCCCCCCCCCCCCCCCCCCCCC(=O)N
top 10 test cadidates: 
smiles: CCCCCCCCC(CCCCCC)(CCCCCC)C(=O)N, s:  0.07946
smiles: CCCCCCCCCCC(CCCCC)(CCCCC)C(=O)N, s:  0.06498
smiles: CCCCCCCC(=O)N(CCCCCCC)CCCCCCC, s:  0.05556
smiles: CCCC(=O)CCCCCCCCCCCCCCCCCCN, s:  0.05019
smiles: CCCCCCCCCC(=O)N(CCCCCC)CCCCCC, s:  0.04534
smiles: CCCCCCCCN(CCCCCC)C(=O)CCCCCCC, s:  0.04433
smiles: CCCCCCCCN(CCCCCCCC)C(=O)CCCCC, s:  0.04029
smiles: CCCCCCCCCCCC(=O)N(CCCCC)CCCCC, s:  0.03502
smiles: CCCCCCCCCCCCCC(=O)N(CCCC)CCCC, s:  0.02032
smiles: CCCCCCCCCCCCCCC(CCC)(CCC)C(=O)N, s:  0.01956
node ID: 2961_cj, ground truth SMILE: CCOP(=O)(OCC)OCC
top 10 test cadidates: 
smiles: CCOP(=O)(CCO)CCO, s:  0.04877
smiles: CCOP(=O)(CCCOC)O, s:  0.04078
smiles: CCOP(=O)(OCC)OCC, s:  0.02905
smiles: CCCOP(=O)(O)OCCC, s:  0.02768
smiles: CCOP(=O)(COC)OCC, s:  0.02448
smiles: CCOP(=O)(C)OCCOC, s:  0.02438
smiles: CCOCCCOP(=O)(C)O, s:  0.02417
smiles: CCOP(=O)(C(C)O)OCC, s:  0.02186
smiles: CCOP(=O)(CCO)OCC, s:  0.02168
smiles: CCOP(=O)(O)OCC(C)C, s:  0.02157
node ID: 14140_hypos, ground truth SMILE: CC1(CCCC2(C1CCC(C2CCC(C)(C=C)O)(C)O)C)C
top 10 test cadidates: 
smiles: CCCCCCC1=CC=C(O1)CCCCCCCCOCC, s:  0.00368
smiles: CN(C)CC1=C(N=C(C(=N1)CN(C)C)CN(C)C)CN(C)C, s:  0.00361
smiles: CCCN1CN2CCN3CN(CN4C3C2N(C1)CC4)CCC, s:  0.00353
smiles: CC(C)N1CN2CCN3CN(CN4C3C2N(C1)CC4)C(C)C, s:  0.00326
smiles: CCCCCCCOC1C=CC(C=C1)OCCCCCCC, s:  0.00314
smiles: CC(C)(C1=[N+](CCN1C)C)N=NC(C)(C)C2=[N+](CCN2C)C, s:  0.00307
smiles: CCCCNC1=NC(=NC(=N1)N(CC)CCC)NCCCC, s:  0.00304
smiles: CCN(CC)C1=CC=NC(N1)(N2CCNCC2)N(CC)CC, s:  0.00295
smiles: CCN(CC)C(=N)C(C)(C)N=NC(C)(C)C(=N)N1CCCC1, s:  0.00292
smiles: CCCCCNC1=NC(=NC(=N1)NC(C)(C)C)NC(C)(C)C, s:  0.00288
node ID: 6386_sedi, ground truth SMILE: CCCCCCCCCCCCCCCC(=O)N
top 10 test cadidates: 
smiles: CCCCCCCCCC(=O)CCCCCCN, s:  0.01224
smiles: CCCCCCC(=O)C(CC)(CC)N(CC)CC, s:  0.01188
smiles: CCCCN(CCCC)CCCCCCC(=O)C, s:  0.01142
smiles: CCCCCC(=O)N(CCCCC)CCCCC, s:  0.01085
smiles: CCCCN(CCCC)CCCCCC(=O)CC, s:  0.01033
smiles: CCCCCCCC(=O)C(C)(CC)N(CC)CC, s:  0.00956
smiles: CCCCCCC(CCCC)(CCCC)C(=O)N, s:  0.00945
smiles: CCCCCCCCC(=O)C(C)CCCC(C)N, s:  0.00893
smiles: CCCCCCCCC(=O)C(CC)(CC)N(C)C, s:  0.00874
smiles: CCCCCCCCCC(=O)C(C)(C)C(C)(C)N, s:  0.00864
node ID: 1766_sedi, ground truth SMILE: C1=CC(=CC(=C1)N)C(=O)N
top 10 test cadidates: 
smiles: C1=CC=C(C=C1)C(=O)NN, s:  0.03033
smiles: C1=CC=C(C=C1)OC(=N)N, s:  0.02248
smiles: C1=CC=C(C=C1)N(C=O)N, s:  0.00861
smiles: C1=CC=C(C=C1)N(C=N)O, s:  0.00485
smiles: C1=CC=C(C=C1)OC=NN, s:  0.00464
smiles: C1=CC=C(C=C1)ON=CN, s:  0.00462
smiles: C1=CC=C(C=C1)O/N=C/N, s:  0.00462
smiles: C1=CC=C2C(=C1)NC(N2)O, s:  0.00456
smiles: CN(C1=CC=CC=C1)N=O, s:  0.00438
smiles: C1=CC=C(C=C1)NC(=O)N, s:  0.00432
node ID: 12011_cj, ground truth SMILE: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
top 10 test cadidates: 
smiles: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O, s:  0.10298
smiles: CC(COC(C)COC(C)COCC(C)OCC(C)OCC(C)O)O, s:  0.10175
smiles: CCC(CO)(CO)COCC(C)OCC(C)OCC(CC)(CO)CO, s:  0.03771
smiles: CC(C)COCC(COCC(C)O)(COCC(C)O)COCC(C)O, s:  0.02665
smiles: CC(CCCC(COCC(C)O)(COCC(C)O)COCC(C)O)O, s:  0.01461
smiles: CCCCOC(COCCCO)COCC(COCC)OCC(C)O, s:  0.01240
smiles: CCCCOCC(COCCCO)(COCC(C)O)COCC(C)O, s:  0.01227
smiles: CCCCOC(COCCCO)COCC(COCC(C)O)OCC, s:  0.00782
smiles: CCOCC(COCC)OCC(CO)COC(COCC)COCC, s:  0.00662
smiles: CCCCC(C(CO)O)OCCOCCOC(CCCC)C(CO)O, s:  0.00343
node ID: 14827_cj, ground truth SMILE: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
top 10 test cadidates: 
smiles: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O, s:  0.32118
smiles: CC(COC(C)COC(C)COC(C)COCC(C)OCC(C)OCC(C)OCC(C)O)O, s:  0.31742
smiles: CC(COCC(C)OC(C)(C)OC(C)COCC(C)OC(C)(C)OC(C)COCC(C)O)O, s:  0.06961
smiles: CCCCCCCCCCCCOCC(COC(COCC(CO)O)COCC(CO)O)O, s:  0.01124
smiles: CCCCCCCCCCC(CC(CO)O)(CC(CO)O)C(CC(CO)O)(CC(CO)O)O, s:  0.01119
smiles: CCCCCCCCCCCC(C1CC(C(C(C1)C)C)C)C2CC(C(C(C2)Br)C)C, s:  0.01048
smiles: CC1(CCC(CC1)C(C)(C)C)N=C(CSSCC(=NC2(CCC(CC2)C(C)(C)C)C)N)N, s:  0.00971
smiles: CCCCCCCCCCCCOCC(COCC(COCC(COCC(CO)O)O)O)O, s:  0.00885
smiles: CCCCN(CCCC)CN1C(=S)C2(CCCCC2)N(C1=S)CN(CCCC)CCCC, s:  0.00878
smiles: C1CCC(CC1)NC(=S)NCCCCCCCCCCCCNC(=S)NC2CCCCC2, s:  0.00806
node ID: 2634_hypos, ground truth SMILE: CCC=CC=CC=O
top 10 test cadidates: 
smiles: C1=CN(N=C1)CC[NH], s:  0.00684
smiles: [2H][C@@](C(=O)O)(C([2H])([2H])O)N([2H])[2H], s:  0.00653
smiles: [H+].C1=C(NC=N1)CC=N, s:  0.00577
smiles: C1=C(NC=N1)CC=[NH2+], s:  0.00577
smiles: C1=C(C=NC=N1)C[NH3+], s:  0.00570
smiles: C1=C(NC=N1)CC[NH-], s:  0.00564
smiles: C=C(N)N=C[CH+]C=N, s:  0.00554
smiles: CC(=[NH2+])C(=N)CC#N, s:  0.00531
smiles: C#CCC1(N=N1)C[NH3+], s:  0.00510
smiles: C1=CN(C=N1)CC[NH-], s:  0.00493
node ID: 4959_hypos, ground truth SMILE: CC1(C2CCC1(C(=O)C2)C)C
top 10 test cadidates: 
smiles: CC(=CCC/C(=C\C=O)/C)C, s:  0.00906
smiles: CC(=CCC/C(=C/C=O)/C)C, s:  0.00906
smiles: CC(=CCCC(=CC=O)C)C, s:  0.00906
smiles: C/C=C(\C)/CC/C(=C/C=O)/C, s:  0.00842
smiles: C/C=C(\C)/CCC(=CC=O)C, s:  0.00842
smiles: C/C=C(/C)\CC/C(=C\C=O)/C, s:  0.00842
smiles: CC=C(C)CCC(=CC=O)C, s:  0.00842
smiles: C/C=C(/C)\CC/C(=C/C=O)/C, s:  0.00842
smiles: C/C=C(\C)/CC/C(=C\C=O)/C, s:  0.00842
smiles: CC/C=C/CC/C(=C/C=O)/C, s:  0.00717
node ID: 7229_cj, ground truth SMILE: CCCCOP(=O)(OCCCC)OCCCC
top 10 test cadidates: 
smiles: CCC(CC)COP(=O)(O)OCC(CC)CC, s:  0.03553
smiles: CCC(C)(C)COP(=O)(O)OCC(C)(C)CC, s:  0.03247
smiles: CC(C)C(C)COP(=O)(O)OCC(C)C(C)C, s:  0.02775
smiles: CCCC(C)COP(=O)(O)OCC(C)CCC, s:  0.02571
smiles: CCCCCCCCCCOP(=O)(O)OCC, s:  0.02453
smiles: CCCCC(C)(CCCC)OP(=O)(O)OCC, s:  0.02295
smiles: CCCCCCOP(=O)(O)OCCCCCC, s:  0.02147
smiles: CCCCCCCOP(=O)(O)OCCCCC, s:  0.02146
smiles: CCC(CC)OP(=O)(OCC)OC(CC)CC, s:  0.01788
smiles: CCC(C)CCOP(=O)(O)OCCC(C)CC, s:  0.01704
node ID: 832_hyneg, ground truth SMILE: CC(C(=O)O)O
top 10 test cadidates: 
smiles: C[SiH2][SiH2]C, s:  0.08080
smiles: C[SiH2]C[SiH3], s:  0.08080
smiles: CC([SiH3])[SiH3], s:  0.08080
smiles: C(C[SiH3])[SiH3], s:  0.08080
smiles: C[SiH](C)[SiH3], s:  0.08080
smiles: CC[SiH2][SiH3], s:  0.08080
smiles: C=CC(O)(O)O, s:  0.03137
smiles: C1OCOCO1, s:  0.01418
smiles: CCOC([O-])[O-], s:  0.01307
smiles: CC(C(=O)O)O, s:  0.01273
node ID: 2740_hypos, ground truth SMILE: CC=CC=CC(=O)O
top 10 test cadidates: 
smiles: C1CCOC(=C=O)C1, s:  0.00932
smiles: [B]/C(=C/CC)/SC, s:  0.00650
smiles: C1=C(NC=N1)CO[NH-], s:  0.00590
smiles: C=CCOOCC#C, s:  0.00558
smiles: COC=C=C=COC, s:  0.00555
smiles: CO[N+]1=CN=CN=C1, s:  0.00537
smiles: COCN1C=[C+]N=N1, s:  0.00471
smiles: [CH]=CC1=[O+]CCCO1, s:  0.00464
smiles: COC(=CC#C)OC, s:  0.00462
smiles: CC1=NOC(=N1)C[NH], s:  0.00457
node ID: 4372_cj, ground truth SMILE: CCCCOP(=O)(O)OCCCC
top 10 test cadidates: 
smiles: CCCC(C)COP(=O)(O)OCC, s:  0.03623
smiles: CCCCCCOP(=O)(O)OCC, s:  0.03352
smiles: CCOP(=O)(O)OC(C)CC(C)C, s:  0.03053
smiles: CCCCOP(=O)(O)OCCCC, s:  0.02968
smiles: CC(C)COP(=O)(O)OCC(C)C, s:  0.02521
smiles: CCCCC(C)OP(=O)(O)OCC, s:  0.02504
smiles: CCCOP(=O)(OCC)OCCC, s:  0.02255
smiles: CCCCCOP(=O)(O)OCCC, s:  0.02249
smiles: CCOP(=O)(C(C)(C)CO)OCC, s:  0.02022
smiles: CCOP(=O)([C@@H](C)[C@@H](C)O)OCC, s:  0.02022
node ID: 6383_hp, ground truth SMILE: CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
top 10 test cadidates: 
smiles: CCCCC[C@H]1[C@@H](N1CC2=CC=CC=C2)COCOC, s:  0.00041
smiles: CCCC(NCC1=CC=CC=C1C=C)(OCC)OCC, s:  0.00039
smiles: CCOCCN(CCOCC)CC1=CC=C(C=C1)C=C, s:  0.00038
smiles: CCOC(CNC(C1CC1)C2=CC=C(C=C2)C)OCC, s:  0.00038
smiles: CCOC(CNC1C2=CC=CC=C2CC1(C)C)OCC, s:  0.00038
smiles: CC(C)COC1CC(C1(C)C)NOCC2=CC=CC=C2, s:  0.00037
smiles: CCCCC1=CC=C(C=C1)NC2CC(C2OC)OCC, s:  0.00036
smiles: CCCCCCCC[N+](C)(C)C(=O)C1=CC=CC=C1[O-], s:  0.00035
smiles: CC1=CC=C(C=C1)/C(=N/OC(C)(C)C)/CCCCOC, s:  0.00034
smiles: CC1=CC=C(C=C1)/C(=N\OC(C)(C)C)/CCCCOC, s:  0.00034
node ID: 6745_cj, ground truth SMILE: CCCCCCCCN(C)CCCCCCCC
top 10 test cadidates: 
smiles: CC(C)(C)CC(C)(C)C(C(C)(C)CC(C)(C)C)N, s:  0.00590
smiles: CCC(C)CC(CCC(C)C)(C(C)CC)C(C)N, s:  0.00578
smiles: CC(C)(C)CC(C)(C)N(C)C(C)(C)CC(C)(C)C, s:  0.00568
smiles: CCCCCC(CCCCC)(CCCCC)CN, s:  0.00567
smiles: CC(C)CCC(CCC(C)C)(CCC(C)C)CN, s:  0.00567
smiles: CCC(CC(C)(C)C)N(C)C(CC)CC(C)(C)C, s:  0.00566
smiles: CCCCCN(CCCC)C(C)(C)CC(C)(C)C, s:  0.00508
smiles: CCC(C)CC(C)(C)N(C(C)(C)C)C(C)(C)CC, s:  0.00508
smiles: CCC(C)(C)N(CC(C)C)C(C)(C)CC(C)(C)C, s:  0.00508
smiles: CC(C)C(C(C)C(C)(C)C(C)C)C(C(C)C)NC, s:  0.00483
node ID: 8405_hyneg, ground truth SMILE: COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O
top 10 test cadidates: 
smiles: C1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)OC(O)O, s:  0.01691
smiles: C1=CC(=CC=C1C2=COC3=C(C2=O)C=C(C(=C3)O)CO)O, s:  0.01658
