node ID: 734, ground truth SMILE: CC1=CC2=NNN=C2C=C1
smiles: CN1C=NC2=C(C1=O)N(C(=O)N2C)C, s:  0.00109
smiles: CCC1=NC2=C(N1)C(=O)N(C(=O)N2)C, s:  0.00104
smiles: CCCN1C=NC2=C1C(=O)NC(=O)N2, s:  0.00099
smiles: CCOC1=NC2=C(C(=O)N1)N(C=N2)C, s:  0.00095
smiles: CCN1C=NC2=C1C(=O)NC(=O)N2C, s:  0.00094
smiles: CC(C)N1C=NC2=C1C(=O)NC(=O)N2, s:  0.00093
smiles: CN1C=NC(=O)C2=C1N(C(=O)N2C)C, s:  0.00090
smiles: CN1C=NC2=C1N(C(=O)N(C2=O)C)C, s:  0.00089
smiles: CC1=NC2=C(N1C)NC(=O)N(C2=O)C, s:  0.00085
smiles: CN1C=NC2=C1C(=O)N=C(N2C)OC, s:  0.00085
smiles: CN1C=NC2=C1C(=NC(=O)N2C)OC, s:  0.00084
node ID: 5752, ground truth SMILE: CCCCOP(=O)(OCCCC)OCCCC
top 20 test cadidates: 
smiles: CCOP(=O)(OCC(C)(C)C)OCC(C)(C)C, s:  0.00025
smiles: CCCCCOP(=O)(OCC)OCCCCC, s:  0.00023
smiles: CCC(CC)OP(=O)(OCC)OC(CC)CC, s:  0.00022
smiles: CCOP(=O)(OCCC(C)C)OCCC(C)C, s:  0.00022
smiles: CCCCCCCCOP(=O)(OCC)OCC, s:  0.00021
smiles: CCCCCCOP(=O)(OCC)OCCCC, s:  0.00020
smiles: CCCCCCCOP(=O)(OCC)OCCC, s:  0.00018
smiles: CCCC(C)OP(=O)(OCC)OC(C)CCC, s:  0.00016
smiles: CCCCOP(=O)(OCCCC)OCCCC, s:  0.00015
smiles: CCCCC(CC)COP(=O)(OCC)OCC, s:  0.00014
smiles: CCC(C)C(C(C)C)OP(=O)(OCC)OCC, s:  0.00014
smiles: CC(C)COP(=O)(OCC(C)C)OCC(C)C, s:  0.00012
smiles: CCCCCCOP(=O)(OCC)OCC(C)C, s:  0.00012
smiles: CCCCCCC(C)OP(=O)(OCC)OCC, s:  0.00011
smiles: CCCCCC(CC)OP(=O)(OCC)OCC, s:  0.00011
smiles: CCCCCCOP(=O)(OCCC)OCCC, s:  0.00010
smiles: CCOP(=O)(CCCCCCCCO)OCC, s:  0.00010
smiles: CCCCCOP(=O)(OCC)OC(C)C(C)C, s:  0.00010
smiles: CCCCCCOP(=O)(OCC)OC(C)CC, s:  0.00009
smiles: CCOCCP(=O)(CCOCC)CCOCC, s:  0.00009
node ID: 2159, ground truth SMILE: COC1=C(C=C2C(=C1)C=CC(=O)O2)O
top 20 test cadidates: 
smiles: COC(=O)C1=C(C2=CC=CC=C2O1)O, s:  0.00115
smiles: C1=CC=C(C(=C1)CC(=O)[O-])CC(=O)[O-], s:  0.00113
smiles: COC(=O)C1=C2C=CC=C(C2=CO1)O, s:  0.00111
smiles: COC(=O)C1=COC2=C1C=CC=C2O, s:  0.00111
smiles: C1=CC=C2C(=C1)C(=CO2)OC(=O)CO, s:  0.00109
smiles: COC(=O)C(=O)C(=O)C1=CC=CC=C1, s:  0.00109
smiles: C1=CC2=C(C(=C1)O)OC=C2CC(=O)O, s:  0.00106
smiles: C1=CC2=C(C(=C1)C(=O)O)OC=C2CO, s:  0.00106
smiles: COC1=C(OC2=CC=CC=C21)C(=O)O, s:  0.00105
smiles: C1=CC=C2C(=C1)C=C(O2)CC(=O)OO, s:  0.00105
smiles: COC1=C(C2=CC=CC=C2O1)C(=O)O, s:  0.00105
smiles: C1=CC=C(C=C1)C(=O)OC(=O)CC=O, s:  0.00104
smiles: CO/C(=C/C(=O)[O-])/C1=CC=CC=C1[O-], s:  0.00103
smiles: C1=CC=C(C=C1)C(=O)CC(=O)C(=O)O, s:  0.00103
smiles: C1=CC=C(C=C1)CC(=O)C(=O)C(=O)O, s:  0.00103
smiles: COC(=O)C#CC1=C(C=CC=C1O)O, s:  0.00103
smiles: COC(=O)C(=O)C1=CC=CC=CC1=O, s:  0.00102
smiles: C1=CC=C2C(=C1)C(=C(O2)CC(=O)O)O, s:  0.00102
smiles: C1=CC=C2C(=C1)C(=C(C(=C2O)O)O)O, s:  0.00102
smiles: C1=CC=C2C(=C1)C(=CC(=C2OO)O)O, s:  0.00101
node ID: 6383, ground truth SMILE: CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
top 20 test cadidates: 
smiles: CN(C)C[C@@H](C1=CC=C(C=C1)O)C2(CCCCCC2)O, s:  0.00038
smiles: CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCCC2)O, s:  0.00038
smiles: CCN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O, s:  0.00034
smiles: CN(C)CCC(C1=CC=C(C=C1)O)C2(CCCCC2)O, s:  0.00030
smiles: CN(C)C[C@@H](C1=CC=C(C=C1)CO)C2(CCCCC2)O, s:  0.00030
smiles: CN(C)CC(C1=CC=C(C=C1)CO)C2(CCCCC2)O, s:  0.00030
smiles: CN(C)C[C@H](C1=CC=C(C=C1)OC)C2(CCCCC2)O, s:  0.00029
smiles: CN(C)C[C@@H](C1=CC=C(C=C1)OC)C2(CCCCC2)O, s:  0.00029
smiles: CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O, s:  0.00029
smiles: CC1CCC(CC1)(C(CN(C)C)C2=CC=C(C=C2)O)O, s:  0.00029
smiles: CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)OC, s:  0.00026
smiles: CC(C)(CC(C1=CC=C(C=C1)O)C2(CCCCC2)O)N, s:  0.00021
smiles: CC(C)(C[C@@H](C1=CC=C(C=C1)O)C2(CCCCC2)O)N, s:  0.00021
smiles: CN(C)C[C@H](C1=CC(=CC=C1)OC)C2(CCCCC2)O, s:  0.00019
smiles: CN(C)C[C@@H](C1=CC(=CC=C1)OC)C2(CCCCC2)O, s:  0.00019
smiles: CN(C)CC(C1=CC(=CC=C1)OC)C2(CCCCC2)O, s:  0.00019
smiles: CN(C)CC(C1=CC=CC=C1OC)C2(CCCCC2)O, s:  0.00016
smiles: CN(C)C[C@H](C1=CC=CC=C1OC)C2(CCCCC2)O, s:  0.00016
smiles: CC(CN(C)C)C1(CCCCC1C2=CC=C(C=C2)O)O, s:  0.00011
smiles: CCC(C1=CC=C(C=C1)O)NCC2(CCCCCC2)O, s:  0.00011
node ID: 8392, ground truth SMILE: CCOC1=C2C3=C(CC4C5C3(CCN4C)C(O2)C(C=C5)O)C=C1
top 20 test cadidates: 
smiles: CCCCCCC(=O)N(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O, s:  0.00012
smiles: C1CN(CCC1(C2=CC=CC=C2)O)CC(C3=CC=C(C=C3)O)O, s:  0.00012
smiles: C1CCC(C1)(N(OCC2=CC=CC=C2)OCC3=CC=CC=C3)O, s:  0.00011
smiles: CCN(CC)C(=O)C(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O, s:  0.00011
smiles: CCCCCCN(C1=CC=C(C=C1)O)C(=O)C2=CC=C(C=C2)O, s:  0.00011
smiles: CCN(CC)C(=O)C(CC1=CC=C(C=C1)O)C2=CC=C(C=C2)O, s:  0.00011
smiles: C1CCC(C1)(CC(=O)NCC(C2=CC3=CC=CC=C3C=C2)O)O, s:  0.00011
smiles: C1CCC(CC1)(CC(=O)NC(C2=CC=CC=C2)C3=CC=CO3)O, s:  0.00011
smiles: CC1=C(C2(CCCCC2)OC1=O)C(=O)NC(C)C3=CC=CC=C3, s:  0.00011
smiles: CCN(CC(C1=CC=C(C=C1)C)O)C(=O)CC2=CC=C(C=C2)O, s:  0.00011
smiles: CCCCCOC1=CC=C(C=C1)C(=O)N(C)C2=CC=C(C=C2)O, s:  0.00011
smiles: CCC(CN(CC(=O)O)C(C1=CC=CC=C1)C2=CC=CC=C2)O, s:  0.00011
smiles: CC(C(C1=CC=C(C=C1)O)O)N2CCC(C2)(C3=CC=CC=C3)O, s:  0.00011
smiles: CC1=C(C2(CCCCCC2)OC1=O)C(=O)NCC3=CC=CC=C3, s:  0.00011
smiles: CCCCCCC(=O)N(OC1=CC=CC=C1)OC2=CC=CC=C2, s:  0.00011
smiles: CC1=CC=C(C=C1)CNC(=O)C2=C(C(=O)OC23CCCCC3)C, s:  0.00011
smiles: C1CCN(C1)CCOC2=CC=C(C=C2)C(C3=CC=C(C=C3)O)O, s:  0.00011
smiles: CC1=C(C2(CCCCC2)OC1=O)C(=O)NCCC3=CC=CC=C3, s:  0.00011
smiles: CC1=CC=CC=C1CNC(=O)C2=C(C(=O)OC23CCCCC3)C, s:  0.00011
smiles: CCC1=CC=CC=C1NC(=O)C2=C(C(=O)OC23CCCCC3)C, s:  0.00011
node ID: 3986, ground truth SMILE: CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl
top 20 test cadidates: 
smiles: CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl, s:  0.00523
smiles: CN(C)C(=O)NC1=CC(=CC(=C1)Cl)Cl, s:  0.00440
smiles: CN(C)C(=O)NC1=C(C=CC=C1Cl)Cl, s:  0.00342
smiles: CN(C)C(=O)NC1=C(C(=CC=C1)Cl)Cl, s:  0.00293
smiles: CN(C)C(=O)NC1=C(C=CC(=C1)Cl)Cl, s:  0.00293
smiles: CN(C)C(=O)NC1=C(C=C(C=C1)Cl)Cl, s:  0.00293
smiles: C[C@@H](C(=O)NC1=CC(=C(C=C1)Cl)Cl)N, s:  0.00214
smiles: CC(C)C(=O)NC1=CC(=NC(=C1)Cl)Cl, s:  0.00210
smiles: CC(C(=O)NC1=CC(=C(C=C1)N)Cl)Cl, s:  0.00204
smiles: CN(C1=CC=CC=C1)C(=O)NC(Cl)Cl, s:  0.00201
smiles: CNC(=O)N(C)C1=CC(=C(C=C1)Cl)Cl, s:  0.00197
smiles: CC(CCl)C(=O)NC1=CN=C(C=C1)Cl, s:  0.00196
smiles: CNC(=O)N(C)C1=C(C=C(C=C1)Cl)Cl, s:  0.00194
smiles: CNC(=O)N(C)C1=C(C(=CC=C1)Cl)Cl, s:  0.00194
smiles: CC(CCl)C(=O)NC1=CC(=NC=C1)Cl, s:  0.00192
smiles: CC(C1=CC(=C(C=C1)Cl)Cl)C(=O)NN, s:  0.00191
smiles: C[C@H](C(=O)NC1=CC(=CC(=C1)Cl)Cl)N, s:  0.00189
smiles: C1=CC(=CC=C1NC(=O)NCCCl)Cl, s:  0.00186
smiles: CNC(C1=CC(=C(C=C1)Cl)Cl)C(=O)N, s:  0.00186
smiles: C[C@@H](C(=O)NC1=C(C=CC=C1Cl)Cl)N, s:  0.00185
node ID: 4656, ground truth SMILE: CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C
top 20 test cadidates: 
smiles: CCN1C(=C(C(=O)N1C2=CC=CC=C2)NC=O)C, s:  0.00035
smiles: CCN1C(=O)C(=C(N1C2=CC=CC=C2)C)NC=O, s:  0.00032
smiles: CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C, s:  0.00031
smiles: CCC1=C(C(=O)N(N1C2=CC=CC=C2)C)NC=O, s:  0.00028
smiles: CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C=O, s:  0.00025
smiles: CC1=C(C(=O)N(N1C2=CC=CC=C2)C)NC(=O)C, s:  0.00017
smiles: CC1=C(C(=O)N(N1C)C2=CC=CC=C2)CC(=O)N, s:  0.00016
smiles: CN1C(=C(C(=O)N1C2=CC=CC=C2)N(C)C)C=O, s:  0.00016
smiles: CN1C(=O)C(=CC(=O)N1C2=CC=CC=C2)N(C)C, s:  0.00011
smiles: CCCN1C(=C(C(=O)N1C2=CC=CC=C2)N=O)C, s:  0.00010
smiles: CC1=CC(=CC=C1)N2C(=O)C(=C(N2C)C)C(=O)N, s:  0.00010
smiles: CCN1C(=C(C(=O)N1C2=CC=CC=C2)C(=O)N)C, s:  0.00009
smiles: CC1=C(N(C(=O)N(C1=O)NC2=CC=CC=C2)C)C, s:  0.00009
smiles: CC1=C(N(C(=O)N(C1=O)C)NC2=CC=CC=C2)C, s:  0.00008
smiles: CC1=C(C(=O)N(N1C)NC(=O)C)C2=CC=CC=C2, s:  0.00008
smiles: CC1=CC=CC=C1N2C(=O)C(=C(N2C)C)C(=O)N, s:  0.00008
smiles: CN1C(=C(N(C1=O)C2=CC=CC=C2)N(C)C)C=O, s:  0.00008
smiles: CCN1C(=O)C(=C(N(C1=O)C2=CC=CC=C2)C)N, s:  0.00008
smiles: CN1C(=O)C(=CN(C1=O)C2=CC=CC=C2)N(C)C, s:  0.00008
smiles: CC1=NN(C=C1COC2=CC=CC=C2NC=O)C, s:  0.00008
node ID: 8015, ground truth SMILE: C(CCOCCCCOCCCCOCCCCO)CO
top 20 test cadidates: 
smiles: C(CCOCCCCOCCCCOCCCCO)CO, s:  0.01080
smiles: C(CCOCCCCC(CCCO)O)CC(CCCO)O, s:  0.00715
smiles: CCCCOCCCOCCCOCCCOCCCO, s:  0.00656
smiles: CCCCCCCCOCCOCCOCCOCCO, s:  0.00597
smiles: C(CCCCOOOCCCCCCCCO)CCCO, s:  0.00594
smiles: CCCCCOCC(COCCCCO)OCCCCO, s:  0.00524
smiles: C(CCCOCCCCCCC(CO)O)CCC(CO)O, s:  0.00514
smiles: CCOCCOCCCCOCCCCOCCOCC, s:  0.00473
smiles: COCCCOCCCCOCCCCOCCCOC, s:  0.00473
smiles: CC(CO)C(CCCCOCCCCC(C(C)CO)O)O, s:  0.00455
smiles: CCCCCOCCOCCOCCOCCOCCC, s:  0.00434
smiles: CCCCOCCOCCOCCOCCOCCCC, s:  0.00434
smiles: CCCCOCC(COCC)(COCC)COCCCO, s:  0.00430
smiles: CCCCC(COCCO)OC(CCCC)COCCO, s:  0.00426
smiles: CCCCCCCOCCOCCOCCOCCOC, s:  0.00420
smiles: CCCCCOCC(CO)OC(CO)COCCCCC, s:  0.00416
smiles: CCCCCCOCCOCCOCCOCCOCC, s:  0.00410
smiles: CCCOCCCC(CC(CO)O)C(CCCCCO)O, s:  0.00405
smiles: CCCCC(CCO)(CCO)C(CCO)(CCO)CCO, s:  0.00402
smiles: CCCCCCCCCCOCC(COCC(CO)O)O, s:  0.00401
node ID: 5053, ground truth SMILE: CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
top 20 test cadidates: 
smiles: CC1=C(OC(=N1)S(=O)(=O)C2=CC=C(C=C2)N)N, s:  0.00041
smiles: CCC1=CC=C(C=C1)S(=O)(=O)C2=NON=C2N, s:  0.00036
smiles: COC1=CC=C(C=C1)S(=O)(=O)C2=C(NN=C2)N, s:  0.00036
smiles: C1=CC2=C(C=C1S(=O)(=O)O)C(=C(C=C2N)N)N, s:  0.00034
smiles: C1=CC=C(C=C1)S(=O)(=O)C2=NON=C2CCN, s:  0.00032
smiles: CC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=O)N2)N, s:  0.00032
smiles: CC(=O)C(C#N)(N)S(=O)(=O)C1=CC=C(C=C1)N, s:  0.00032
smiles: CN1C=C(NN1)S(=O)(=O)C2=CC=C(C=C2)C=O, s:  0.00032
smiles: CC1=C(C(=NN1)N)C2=CC=C(C=C2)S(=O)(=O)O, s:  0.00032
smiles: CC1=COC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N, s:  0.00032
smiles: CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N, s:  0.00032
smiles: CC1=CC=C(C=C1)S(=O)(=O)N2C(=O)CN=C2N, s:  0.00032
smiles: COC1=CC=C(C=C1)S(=O)(=O)N2C=CC(=N2)N, s:  0.00031
smiles: CC1=CC=C(O1)S(=O)(=O)NC2=NC=C(C=C2)N, s:  0.00031
smiles: COC1=CC(=CC=C1)S(=O)(=O)C2=C(NN=C2)N, s:  0.00031
smiles: CC1=CON=C1NS(=O)(=O)C2=CC=C(C=C2)N, s:  0.00031
smiles: CC(=O)C(C#N)NS(=O)(=O)C1=CC=C(C=C1)N, s:  0.00031
smiles: C1=CC(=CC=C1N)S(=O)(=O)NCC2=NOC=C2, s:  0.00031
smiles: CC1=C(C=NO1)NS(=O)(=O)C2=CC=C(C=C2)N, s:  0.00031
smiles: C1=CC(=CC=C1N)S(=O)(=O)NCC2=CC=NO2, s:  0.00031
node ID: 5678, ground truth SMILE: CNC1=C2C(=NC=N1)N(C=N2)C3CC(C(O3)CO)O
top 20 test cadidates: 
smiles: C1C[C@@H](O[C@@H]([C@H]1O)CO)N2C=NC3=C(N=CN=C32)N, s:  0.00186
smiles: C1C[C@H](O[C@H]([C@@H]1O)CO)N2C=NC3=C(N=CN=C32)N, s:  0.00186
smiles: C1[C@@H](O[C@@H](C1CO)CO)N2C=NC3=C(N=CN=C32)N, s:  0.00186
smiles: C1[C@@H]([C@H](OC1N2C=NC3=C(N=CN=C32)N)CO)CO, s:  0.00186
smiles: C1[C@@H]([C@H](O[C@@H]1N2C=NC3=C(N=CN=C32)N)CO)CO, s:  0.00186
smiles: C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)CO, s:  0.00186
smiles: C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)CO, s:  0.00186
smiles: COC[C@@H]1C(C[C@@H](O1)N2C=NC3=C(N=CN=C32)N)O, s:  0.00181
smiles: COC[C@H]1C(C[C@H](O1)N2C=NC3=C(N=CN=C32)N)O, s:  0.00181
smiles: COC[C@@H]1[C@H](C[C@@H](O1)N2C=NC3=C(N=CN=C32)N)O, s:  0.00181
smiles: COCC1C(CC(O1)N2C=NC3=C(N=CN=C32)N)O, s:  0.00181
smiles: CO[C@@H]1C[C@H](O[C@H]1CO)N2C=NC3=C(N=CN=C32)N, s:  0.00177
smiles: COC1CC(OC1CO)N2C=NC3=C(N=CN=C32)N, s:  0.00177
smiles: CO[C@H]1C[C@@H](O[C@@H]1CO)N2C=NC3=C(N=CN=C32)N, s:  0.00177
smiles: COC1C[C@@H](OC1CO)N2C=NC3=C(N=CN=C32)N, s:  0.00177
smiles: C1[C@H](C[C@@H](O[C@@H]1CO)N2C=NC3=C(N=CN=C32)N)O, s:  0.00171
smiles: CC1C(C(CC(O1)N2C=NC3=C(N=CN=C32)N)O)O, s:  0.00167
smiles: CC(C1C(CC(O1)N2C=NC3=C(N=CN=C32)N)O)O, s:  0.00160
smiles: C[C@@H](C1C(C[C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O, s:  0.00160
smiles: C[C@H]([C@@H]1[C@H](C[C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O, s:  0.00160
node ID: 6561, ground truth SMILE: COC1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O
top 20 test cadidates: 
smiles: C1[C@@H]([C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)O)O, s:  0.00403
smiles: C1[C@H]([C@H]([C@@H](O[C@@H]1N2C=NC3=C(N=CN=C32)N)CO)O)O, s:  0.00403
smiles: C1C(C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O)O, s:  0.00403
smiles: C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H](O[C@@H]([C@@H]3O)CO)CO)N, s:  0.00368
smiles: C1=NC(=C2C(=N1)N(C=N2)[C@@H]3[C@H](O[C@@H]([C@H]3O)CO)CO)N, s:  0.00368
smiles: C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H](O[C@H]([C@@H]3O)CO)CO)N, s:  0.00368
smiles: C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)CO)N, s:  0.00368
smiles: C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)CO)N, s:  0.00368
smiles: C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)CO)O)N, s:  0.00366
smiles: C1=NC(=C2C(=N1)N(C=N2)C3[C@H](C(C(O3)CO)CO)O)N, s:  0.00366
smiles: C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H](C([C@H](O3)CO)CO)O)N, s:  0.00366
smiles: C1=NC(=C2C(=N1)N(C=N2)[C@@H]3[C@H]([C@H]([C@@H](O3)CO)CO)O)N, s:  0.00366
smiles: C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)CO)O)N, s:  0.00366
smiles: C1[C@H](OC(C(C1O)O)N2C=NC3=C(N=CN=C32)N)CO, s:  0.00320
smiles: C1C(OC(C(C1O)O)N2C=NC3=C(N=CN=C32)N)CO, s:  0.00320
smiles: C1[C@@H](OC(C(C1O)O)N2C=NC3=C(N=CN=C32)N)CO, s:  0.00320
smiles: CO[C@@H]1[C@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)O, s:  0.00312
smiles: CO[C@@H]1[C@H]([C@@H](O[C@@H]1N2C=NC3=C(N=CN=C32)N)CO)O, s:  0.00312
smiles: CO[C@@H]1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)O, s:  0.00312
smiles: COC1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O, s:  0.00312
node ID: 9925, ground truth SMILE: CCCCCCCCCCCCCCCCCCCCCC(=O)N
top 20 test cadidates: 
smiles: CCCCCCCCCCCCCCCCCCCCCC(=O)N, s:  0.01342
smiles: CCCCCCCCCCC(CCCCC)(CCCCC)C(=O)N, s:  0.00848
smiles: CCCCCCCCC(CCCCCC)(CCCCCC)C(=O)N, s:  0.00848
smiles: CCC(CC)CCCCCCCCCCCCCCCCC(=O)N, s:  0.00839
smiles: CCCCCCCCCCCCCCCCCCCCC(=O)NC, s:  0.00776
smiles: CC(C)CCCCCCCCCCCCCCCCCCC(=O)N, s:  0.00776
smiles: CCCCCCCCCCCCCCCCCCCC(=O)N(C)C, s:  0.00776
smiles: CCCCCCCC(=O)N(CCCCCCC)CCCCCCC, s:  0.00775
smiles: CCCCCCCCCC(=O)N(CCCCCC)CCCCCC, s:  0.00775
smiles: CCCCCCCCN(CCCCCC)C(=O)CCCCCCC, s:  0.00775
smiles: CCCCCCCCN(CCCCCCCC)C(=O)CCCCC, s:  0.00759
smiles: CCCCCCCCCCCC(=O)N(CCCCC)CCCCC, s:  0.00759
smiles: CCCCCCCCCCCCCCC(CCCCCC)C(=O)N, s:  0.00746
smiles: CCCCCCCCCCCC(CCCCCCCCC)C(=O)N, s:  0.00746
smiles: CCCCCCCCCCCCC(CCCCCCCC)C(=O)N, s:  0.00746
smiles: CCCCCCCCCCC(CCCCCCCCCC)C(=O)N, s:  0.00746
smiles: CCCCCCCCCCCCCCCCC(=O)C(CCCC)N, s:  0.00735
